Key,Module,EN,CN,TC,JP,KR,RU,MX,PT,FR,DE,ID,VI,TH,IT
builds.back_to_list,builds,Back to Builds,返回列表,返回配置列表,一覧に戻る,목록으로,Назад к сборкам,Volver a Builds,Voltar à Lista,Retour aux Builds,Zurück zu Builds,Kembali ke Daftar,Quay lại danh sách,กลับไปรายการ,Torna alle Build
builds.be_first_character,builds,Be the first to share a build for this character!,成为第一个分享该角色配置的人！,成為第一個分享該角色配置的人！,このキャラクターのビルドを最初に共有しましょう！,이 캐릭터의 빌드를 처음으로 공유해보세요!,"Станьте первым, кто поделится сборкой для этого персонажа!",¡Sé el primero en compartir un build para este personaje!,Seja o primeiro a compartilhar uma build para este personagem!,Soyez le premier à partager un build pour ce personnage !,"Seien Sie der Erste, der einen Build für diesen Charakter teilt!",Jadilah yang pertama membagikan build untuk karakter ini!,Hãy là người đầu tiên chia sẻ build cho nhân vật này!,เป็นคนแรกที่แชร์บิลด์สำหรับตัวละครนี้!,Sii il primo a condividere una build per questo personaggio!
builds.be_first_to_share,builds,Be the first to share your build with the community!,成为第一个与社区分享配置的玩家！,成為第一個與社群分享配置的人！,最初にビルドを共有しましょう！,첫 번째로 빌드를 공유해보세요!,"Станьте первым, кто поделится сборкой с сообществом!",¡Sé el primero en compartir tu build con la comunidad!,Seja o primeiro a compartilhar uma build!,Soyez le premier à partager votre build avec la communauté !,"Seien Sie der Erste, der seinen Build mit der Community teilt!",Jadilah yang pertama membagikan build!,Hãy là người đầu tiên chia sẻ build!,เป็นคนแรกที่แชร์บิลด์!,Sii il primo a condividere la tua build con la community!
builds.browse_builds,builds,Browse Builds,浏览配置,瀏覽配置,ビルドを閲覧,빌드 둘러보기,Просмотр сборок,Explorar Builds,Explorar Builds,Parcourir les Builds,Builds durchsuchen,Jelajahi Build,Duyệt builds,เรียกดูบิลด์,Sfoglia Build
builds.browse_character_builds,builds,Browse community builds for this character,浏览该角色的社区配置,瀏覽該角色的社群配置,このキャラクターのコミュニティビルドを閲覧,이 캐릭터의 커뮤니티 빌드 찾아보기,Просмотр сборок сообщества для этого персонажа,Explorar builds de la comunidad para este personaje,Explorar Builds do Personagem,Parcourir les builds communautaires pour ce personnage,Community-Builds für diesen Charakter durchsuchen,Jelajahi Build Karakter,Duyệt builds nhân vật,เรียกดูบิลด์ตัวละคร,Sfoglia le build della community per questo personaggio
builds.build,builds,Builds,配置,配置,ビルド,빌드,Сборки,Builds,Build,Builds,Builds,Build,Build,บิลด์,Build
builds.build_character,builds,Build a Character,角色配置,角色配置,キャラビルド,캐릭터 빌드,Сборка Персонажа,Build de Personaje,Personagem da Build,Créer un Personnage,Charakter erstellen,Karakter Build,Build nhân vật,บิลด์ตัวละคร,Crea una Build Personaggio
builds.build_description,builds,Build Guide,配置指南,配置指南,ビルドガイド,빌드 가이드,Гайд по Сборке,Guía del Build,Descrição da Build,Guide de Build,Build-Anleitung,Deskripsi Build,Mô tả build,คำอธิบายบิลด์,Guida alla Build
builds.build_name,builds,Build Name,配置名称,配置名稱,ビルド名,빌드 이름,Название Сборки,Nombre del Build,Nome da Build,Nom du Build,Build-Name,Nama Build,Tên build,ชื่อบิลด์,Nome Build
builds.build_team,builds,Build a Team,组建队伍,組建隊伍,チームを編成,팀 구성하기,Собрать Команду,Crear Equipo,Equipe da Build,Créer une Équipe,Team erstellen,Tim Build,Build đội,บิลด์ทีม,Crea un Team
builds.by,builds,by,作者,作者,作成者,제작자,от,por,por,par,von,oleh,bởi,โดย,di
builds.change_alt_weapon,builds,Change Alternative Weapon,更换替代武器,更換替代武器,代替武器を変更,대체 무기 변경,Изменить альтернативное оружие,Cambiar Arma Alternativa,Alterar Arma Alternativa,Changer l'Arme Alternative,Alternative Waffe ändern,Ubah Senjata Alternatif,Thay đổi vũ khí thay thế,เปลี่ยนอาวุธทดแทน,Cambia Arma Alternativa
builds.change_character,builds,Change Character,更换角色,更換角色,キャラクターを変更,캐릭터 변경,Сменить персонажа,Cambiar Personaje,Alterar Personagem,Changer de Personnage,Charakter wechseln,Ubah Karakter,Thay đổi nhân vật,เปลี่ยนตัวละคร,Cambia Personaggio
builds.character_desc,builds,Select main character for this build,选择此配置的主角色,選擇此配置的主角色,このビルドのメインキャラクターを選択,이 빌드의 메인 캐릭터 선택,Выберите главного персонажа для этой сборки,Selecciona el personaje principal para este build,Descrição do Personagem,Sélectionnez le personnage principal pour ce build,Wählen Sie den Hauptcharakter für diesen Build,Deskripsi Karakter,"Xem kỹ năng, chỉ số, tài năng và nhiều hơn nữa","ดูสกิล, สเตตัส, พรสวรรค์ และอื่นๆ",Seleziona il personaggio principale per questa build
builds.character_not_found,builds,Character not found,未找到角色,未找到角色,キャラクターが見つかりません,캐릭터를 찾을 수 없습니다,Персонаж не найден,Personaje no encontrado,Personagem Não Encontrado,Personnage non trouvé,Charakter nicht gefunden,Karakter Tidak Ditemukan,Không tìm thấy nhân vật,ไม่พบตัวละคร,Personaggio non trovato
builds.character_not_found_desc,builds,This character could not be found.,未找到该角色。,未找到該角色。,キャラクターが見つかりませんでした。,캐릭터를 찾을 수 없습니다.,Персонаж не найден.,No se pudo encontrar este personaje.,O personagem solicitado não foi encontrado,Ce personnage n'a pas pu être trouvé.,Dieser Charakter konnte nicht gefunden werden.,Karakter yang diminta tidak ditemukan,Nhân vật bạn đang tìm kiếm không tồn tại.,ตัวละครที่คุณกำลังค้นหาไม่มีอยู่,Questo personaggio non è stato trovato.
builds.characters,builds,characters,角色,角色,キャラクター,캐릭터,персонажей,personajes,Personagens,personnages,Charaktere,Karakter,Nhân vật,ตัวละคร,personaggi
builds.clear_draft,builds,Clear draft,清除草稿,清除草稿,下書きをクリア,초안 지우기,Очистить черновик,Limpiar borrador,Limpar Rascunho,Effacer le brouillon,Entwurf löschen,Hapus Draft,Xóa bản nháp,ล้างแบบร่าง,Cancella bozza
builds.clear_filters,builds,Clear Filters,清除筛选,清除篩選,フィルターをクリア,필터 지우기,Очистить фильтры,Limpiar Filtros,Limpar Filtros,Effacer les Filtres,Filter löschen,Hapus Filter,Xóa bộ lọc,ล้างตัวกรอง,Cancella Filtri
builds.click_to_add_partners,builds,Click characters to add them,点击添加推荐队友,點擊添加推薦隊友,クリックしておすすめパートナーを追加,클릭하여 추천 파트너 추가,"Нажмите, чтобы добавить партнёров",Haz clic para añadir compañeros,Clique para adicionar parceiros,Cliquez sur les personnages pour les ajouter,"Klicken Sie auf Charaktere, um sie hinzuzufügen",Klik untuk menambah partner,Nhấp để thêm đồng đội,คลิกเพื่อเพิ่มคู่หู,Clicca sui personaggi per aggiungerli
builds.comments_count,builds,comments,评论,留言,コメント,댓글,комментариев,comentarios,Comentários,commentaires,Kommentare,Komentar,Bình luận,ความคิดเห็น,commenti
builds.confirm_delete,builds,Are you sure you want to delete this build? This action cannot be undone.,确定要删除此配置吗？此操作无法撤销。,確定要刪除此配置嗎？此操作無法撤銷。,このビルドを削除しますか？この操作は取り消せません。,이 빌드를 삭제하시겠습니까? 이 작업은 취소할 수 없습니다.,"Вы уверены, что хотите удалить эту сборку? Это действие нельзя отменить.",¿Estás seguro de eliminar este build? Esta acción no se puede deshacer.,Confirmar Exclusão,Êtes-vous sûr de vouloir supprimer ce build ? Cette action est irréversible.,Möchten Sie diesen Build wirklich löschen? Diese Aktion kann nicht rückgängig gemacht werden.,Konfirmasi Hapus,Bạn có chắc muốn xóa build này? Hành động này không thể hoàn tác.,คุณแน่ใจหรือไม่ที่จะลบบิลด์นี้? การดำเนินการนี้ไม่สามารถย้อนกลับได้,Sei sicuro di voler eliminare questa build? Questa azione non può essere annullata.
builds.copied,builds,Copied!,已复制!,已複製!,コピーしました!,복사됨!,Скопировано!,¡Copiado!,Copiado!,Copié !,Kopiert!,Disalin!,Đã sao chép!,คัดลอกแล้ว!,Copiato!
builds.copy_to_clipboard,builds,Copy to Clipboard,复制到剪贴板,複製到剪貼簿,クリップボードにコピー,클립보드에 복사,Копировать в буфер,Copiar al Portapapeles,Copiar para Área de Transferência,Copier dans le Presse-papiers,In Zwischenablage kopieren,Salin ke Clipboard,Sao chép vào clipboard,คัดลอกไปยังคลิปบอร์ด,Copia negli Appunti
builds.counted_in_calculations,builds,Counted in calculations,已计入属性,已計入屬性,計算に含まれています,계산에 포함됨,Учтено в расчётах,Incluido en cálculos,Contado nos cálculos,Compté dans les calculs,In Berechnungen gezählt,Dihitung dalam kalkulasi,Được tính trong các tính toán,นับในการคำนวณ,Conteggiato nei calcoli
builds.create_and_share,builds,Create and Share Build,创建并分享配置,建立並分享配置,ビルドを作成・共有,빌드 만들기 및 공유,Создать и поделиться сборкой,Crear y Compartir Build,Criar e Compartilhar,Créer et Partager le Build,Build erstellen und teilen,Buat dan Bagikan,Tạo & chia sẻ,สร้าง & แชร์,Crea e Condividi Build
builds.create_build,builds,Create Build,创建配置,建立配置,ビルド作成,빌드 만들기,Создать сборку,Crear Build,Criar Build,Créer un Build,Build erstellen,Buat Build,Tạo build,สร้างบิลด์,Crea Build
builds.create_character,builds,Create Character Build,创建角色配置,建立角色配置,キャラクタービルド作成,캐릭터 빌드 만들기,Создать сборку персонажа,Crear Build de Personaje,Criar Personagem,Créer un Build de Personnage,Charakter-Build erstellen,Buat Karakter,Tạo nhân vật,สร้างตัวละคร,Crea Build Personaggio
